rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
90,False,False,ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,low,1.0,False,precision,11.358,8,4096,36,64,64,8,12096,bf16,8,8.35,2.0551,11471,6.37,34.62,2.14,0.035,high
91,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10368,medium,1.75,False,architecture,11.373,8,4096,35,64,64,8,10368,bf16,16,7.42,2.0554,12723,6.09,31.24,1.95,0.068,high
92,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12672; kv_cache_bits: 16 -> 8,high,3.0,False,precision,11.391,8,4096,34,64,64,8,12672,bf16,8,8.22,2.0557,11850,6.06,33.48,2.1,0.033,high
93,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,11.392,8,4096,35,64,64,32,12672,fp8,16,8.85,2.0557,20738,5.85,18.1,1.38,0.273,high
94,False,False,n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,11.404,8,4096,36,64,64,64,10368,fp8,16,8.64,2.0559,20228,6.2,18.66,1.65,0.562,high
95,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,3.25,False,precision,11.423,8,4096,38,64,64,16,12672,fp8,16,9.15,2.0563,19452,6.21,19.37,1.29,0.148,high
96,False,False,n_layers: 36 -> 37; kv_cache_bits: 16 -> 8,medium,1.25,False,precision,11.429,8,4096,37,64,64,8,11520,bf16,8,8.27,2.0564,11443,6.5,34.73,2.12,0.036,high
97,False,False,n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,1.25,False,precision,11.435,8,4096,36,64,64,32,12096,fp8,16,8.8,2.0565,20591,6.0,18.26,1.38,0.281,high
98,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,11.442,8,4096,35,64,64,8,12096,bf16,8,8.16,2.0566,11795,6.19,33.66,2.09,0.034,high
99,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,high,2.75,False,precision,11.446,8,4096,34,64,64,64,10944,fp8,16,8.49,2.0567,20968,5.88,17.96,1.6,0.531,high
100,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10368,medium,2.5,False,architecture,11.465,8,4096,34,64,64,8,10368,bf16,16,7.25,2.0571,13092,5.91,30.35,1.91,0.066,high
101,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,3.25,False,precision,11.481,8,4096,34,64,64,32,12672,fp8,16,8.64,2.0574,21335,5.69,17.58,1.35,0.266,high
102,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,11.488,8,4096,35,64,64,64,10368,fp8,16,8.45,2.0575,20795,6.03,18.14,1.61,0.547,high
103,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,11.495,8,4096,37,64,64,16,12672,fp8,16,8.95,2.0576,19967,6.05,18.86,1.26,0.145,high
104,False,False,kv_cache_bits: 16 -> 8,low,0.5,False,precision,11.508,8,4096,36,64,64,8,11520,bf16,8,8.09,2.0578,11757,6.32,33.79,2.08,0.035,high
105,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,11.518,8,4096,35,64,64,32,12096,fp8,16,8.6,2.058,21167,5.83,17.75,1.35,0.273,high
106,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,11.532,8,4096,34,64,64,8,12096,bf16,8,7.98,2.0583,12138,6.02,32.7,2.05,0.033,high
107,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,2.75,False,precision,11.557,8,4096,38,64,64,16,12096,fp8,16,8.88,2.0588,19862,6.19,18.99,1.26,0.148,high
108,False,False,n_kv_heads: 8 -> 32; ffn_precision: bf16 -> fp8,low,0.75,False,precision,11.568,8,4096,36,64,64,32,11520,fp8,16,8.55,2.059,21027,5.98,17.9,1.35,0.281,high
109,False,False,n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,11.573,8,4096,36,64,64,16,12672,fp8,16,8.75,2.0591,20511,5.89,18.35,1.24,0.141,high
110,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,high,3.25,False,precision,11.577,8,4096,34,64,64,64,10368,fp8,16,8.25,2.0591,21394,5.85,17.62,1.57,0.531,high
111,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,11.588,8,4096,37,64,64,8,10944,bf16,8,8.01,2.0593,11735,6.45,33.88,2.06,0.036,high
112,False,False,n_layers: 36 -> 35; kv_cache_bits: 16 -> 8,medium,1.25,False,precision,11.592,8,4096,35,64,64,8,11520,bf16,8,7.91,2.0594,12089,6.15,32.86,2.03,0.034,high
113,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,2.75,False,precision,11.608,8,4096,34,64,64,32,12096,fp8,16,8.4,2.0597,21777,5.66,17.24,1.32,0.266,high
114,False,False,n_layers: 36 -> 38; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,3.0,False,precision,11.615,8,4096,38,64,64,8,12672,fp8,16,8.99,2.0598,19487,6.14,19.37,1.2,0.074,medium
115,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,11.63,8,4096,37,64,64,16,12096,fp8,16,8.69,2.0601,20388,6.03,18.49,1.23,0.145,high
116,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 32; ffn_precision: bf16 -> fp8,medium,1.5,False,precision,11.652,8,4096,35,64,64,32,11520,fp8,16,8.35,2.0605,21615,5.81,17.4,1.32,0.273,high
117,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,11.656,8,4096,35,64,64,16,12672,fp8,16,8.56,2.0606,21085,5.72,17.84,1.21,0.137,high
118,False,False,ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,low,1.0,False,precision,11.667,8,4096,36,64,64,8,10944,bf16,8,7.84,2.0608,12057,6.28,32.97,2.02,0.035,high
119,False,False,n_layers: 36 -> 34; kv_cache_bits: 16 -> 8,medium,2.0,False,precision,11.683,8,4096,34,64,64,8,11520,bf16,8,7.74,2.0611,12440,5.97,31.92,1.99,0.033,high
120,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,11.688,8,4096,37,64,64,8,12672,fp8,16,8.8,2.0612,20004,5.98,18.86,1.17,0.072,medium
121,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 16; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,11.701,8,4096,38,64,64,16,11520,fp8,16,8.61,2.0614,20290,6.17,18.61,1.23,0.148,high
122,False,False,n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,1.25,False,precision,11.708,8,4096,36,64,64,16,12096,fp8,16,8.5,2.0615,20943,5.86,17.99,1.21,0.141,high
123,False,False,n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,1.25,False,precision,11.711,8,4096,36,64,64,32,10944,fp8,16,8.29,2.0616,21481,5.95,17.54,1.32,0.281,high
124,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 32; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,11.742,8,4096,34,64,64,32,11520,fp8,16,8.16,2.0622,22237,5.64,16.9,1.29,0.266,high
125,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,3.25,False,precision,11.746,8,4096,34,64,64,16,12672,fp8,16,8.36,2.0622,21692,5.56,17.33,1.18,0.133,high
126,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,11.752,8,4096,35,64,64,8,10944,bf16,8,7.67,2.0624,12398,6.1,32.05,1.98,0.034,high
127,False,False,n_layers: 36 -> 38; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,11.755,8,4096,38,64,64,8,12096,fp8,16,8.72,2.0624,19899,6.12,18.99,1.17,0.074,medium
128,False,False,ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,1.5,False,precision,11.766,8,4096,36,64,64,8,12672,fp8,16,8.6,2.0626,20549,5.82,18.35,1.15,0.07,medium
129,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 16; ffn_precision: bf16 -> fp8,medium,1.5,False,precision,11.774,8,4096,37,64,64,16,11520,fp8,16,8.43,2.0628,20827,6.0,18.12,1.2,0.145,high
130,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,11.792,8,4096,35,64,64,16,12096,fp8,16,8.31,2.0631,21529,5.7,17.49,1.18,0.137,high
131,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,11.795,8,4096,35,64,64,32,10944,fp8,16,8.11,2.0632,22082,5.79,17.05,1.3,0.273,high
132,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,11.828,8,4096,37,64,64,8,12096,fp8,16,8.53,2.0638,20426,5.96,18.49,1.14,0.072,medium
133,False,False,ffn_dim: 11520 -> 10368; kv_cache_bits: 16 -> 8,medium,1.5,False,precision,11.839,8,4096,36,64,64,8,10368,bf16,8,7.58,2.064,12373,6.23,32.14,1.96,0.035,high
134,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,11.844,8,4096,34,64,64,8,10944,bf16,8,7.49,2.0641,12758,5.93,31.13,1.93,0.033,high
135,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,11.849,8,4096,35,64,64,8,12672,fp8,16,8.41,2.0642,21124,5.66,17.84,1.13,0.068,medium
136,False,False,n_kv_heads: 8 -> 16; ffn_precision: bf16 -> fp8,low,0.75,False,precision,11.852,8,4096,36,64,64,16,11520,fp8,16,8.24,2.0642,21394,5.84,17.63,1.18,0.141,high
137,False,False,n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,11.863,8,4096,36,64,64,32,10368,fp8,16,8.04,2.0644,21955,5.93,17.18,1.3,0.281,high
138,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,2.75,False,precision,11.882,8,4096,34,64,64,16,12096,fp8,16,8.12,2.0648,22149,5.54,16.99,1.16,0.133,high
139,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,high,2.75,False,precision,11.886,8,4096,34,64,64,32,10944,fp8,16,7.92,2.0648,22717,5.62,16.56,1.27,0.266,high
140,False,False,n_layers: 36 -> 38; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,11.904,8,4096,38,64,64,8,11520,fp8,16,8.45,2.0652,20329,6.09,18.61,1.14,0.074,medium
141,False,False,ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,low,1.0,False,precision,11.906,8,4096,36,64,64,8,12096,fp8,16,8.35,2.0652,20982,5.8,17.99,1.12,0.07,medium
142,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10368; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,11.924,8,4096,35,64,64,8,10368,bf16,8,7.42,2.0655,12723,6.06,31.24,1.92,0.034,high
143,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,11.927,8,4096,37,64,64,16,10944,fp8,16,8.17,2.0656,21285,5.98,17.75,1.17,0.145,high
144,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 16; ffn_precision: bf16 -> fp8,medium,1.5,False,precision,11.937,8,4096,35,64,64,16,11520,fp8,16,8.06,2.0658,21992,5.68,17.14,1.15,0.137,high
145,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,3.0,False,precision,11.94,8,4096,34,64,64,8,12672,fp8,16,8.22,2.0658,21732,5.5,17.33,1.1,0.066,medium
146,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,11.947,8,4096,35,64,64,32,10368,fp8,16,7.86,2.066,22569,5.77,16.7,1.27,0.273,high
147,False,False,n_layers: 36 -> 37; ffn_precision: bf16 -> fp8,medium,1.25,False,precision,11.977,8,4096,37,64,64,8,11520,fp8,16,8.27,2.0665,20867,5.93,18.12,1.11,0.072,medium
148,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,11.991,8,4096,35,64,64,8,12096,fp8,16,8.16,2.0668,21569,5.64,17.49,1.1,0.068,medium
149,False,False,n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,1.25,False,precision,12.006,8,4096,36,64,64,16,10944,fp8,16,7.99,2.0671,21864,5.82,17.27,1.15,0.141,high
150,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10368; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.016,8,4096,34,64,64,8,10368,bf16,8,7.25,2.0672,13092,5.89,30.35,1.88,0.033,high
151,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 16; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,12.027,8,4096,34,64,64,16,11520,fp8,16,7.88,2.0674,22625,5.52,16.65,1.13,0.133,high
152,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,high,3.25,False,precision,12.039,8,4096,34,64,64,32,10368,fp8,16,7.68,2.0677,23218,5.6,16.22,1.24,0.266,high
153,False,False,ffn_precision: bf16 -> fp8,low,0.5,False,precision,12.056,8,4096,36,64,64,8,11520,fp8,16,8.09,2.068,21435,5.77,17.63,1.09,0.07,medium
154,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,12.081,8,4096,34,64,64,8,12096,fp8,16,7.98,2.0684,22190,5.47,16.99,1.07,0.066,medium
155,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,12.091,8,4096,35,64,64,16,10944,fp8,16,7.81,2.0686,22475,5.66,16.79,1.12,0.137,high
156,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,12.137,8,4096,37,64,64,8,10944,fp8,16,8.01,2.0695,21327,5.91,17.75,1.08,0.072,medium
157,False,False,n_layers: 36 -> 35; ffn_precision: bf16 -> fp8,medium,1.25,False,precision,12.141,8,4096,35,64,64,8,11520,fp8,16,7.91,2.0695,22034,5.61,17.14,1.07,0.068,medium
158,False,False,n_layers: 36 -> 38; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.5,False,precision,12.162,8,4096,38,64,64,8,12672,fp8,8,8.99,2.0699,19487,6.11,19.37,1.16,0.037,medium
159,False,False,n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,12.171,8,4096,36,64,64,16,10368,fp8,16,7.74,2.0701,22356,5.8,16.91,1.12,0.141,high
160,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,high,2.75,False,precision,12.183,8,4096,34,64,64,16,10944,fp8,16,7.64,2.0703,23122,5.5,16.31,1.1,0.133,high
161,False,False,ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,low,1.0,False,precision,12.217,8,4096,36,64,64,8,10944,fp8,16,7.84,2.0709,21907,5.75,17.27,1.06,0.07,medium
162,False,False,n_layers: 36 -> 34; ffn_precision: bf16 -> fp8,medium,2.0,False,precision,12.232,8,4096,34,64,64,8,11520,fp8,16,7.74,2.0712,22668,5.45,16.65,1.05,0.066,medium
163,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,2.75,False,precision,12.235,8,4096,37,64,64,8,12672,fp8,8,8.8,2.0713,20004,5.95,18.86,1.14,0.036,medium
164,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,12.257,8,4096,35,64,64,16,10368,fp8,16,7.57,2.0717,22980,5.63,16.44,1.1,0.137,high
165,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,12.302,8,4096,35,64,64,8,10944,fp8,16,7.67,2.0725,22519,5.59,16.79,1.04,0.068,medium
166,False,False,n_layers: 36 -> 38; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.302,8,4096,38,64,64,8,12096,fp8,8,8.72,2.0725,19899,6.09,18.99,1.13,0.037,medium
167,False,False,ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.0,False,precision,12.313,8,4096,36,64,64,8,12672,fp8,8,8.6,2.0727,20549,5.79,18.35,1.11,0.035,medium
168,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,high,3.25,False,precision,12.349,8,4096,34,64,64,16,10368,fp8,16,7.4,2.0734,23641,5.47,15.97,1.07,0.133,high
169,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.375,8,4096,37,64,64,8,12096,fp8,8,8.53,2.0739,20426,5.93,18.49,1.11,0.036,medium
170,False,False,ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,1.5,False,precision,12.389,8,4096,36,64,64,8,10368,fp8,16,7.58,2.0741,22401,5.73,16.91,1.03,0.07,medium
171,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,12.394,8,4096,34,64,64,8,10944,fp8,16,7.49,2.0742,23167,5.43,16.31,1.02,0.066,medium
