rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
172,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,2.75,False,precision,12.397,8,4096,35,64,64,8,12672,fp8,8,8.41,2.0743,21124,5.63,17.84,1.09,0.034,medium
173,False,False,n_layers: 36 -> 38; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,12.452,8,4096,38,64,64,8,11520,fp8,8,8.45,2.0753,20329,6.07,18.61,1.1,0.037,medium
174,False,False,ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.5,False,precision,12.454,8,4096,36,64,64,8,12096,fp8,8,8.35,2.0753,20982,5.77,17.99,1.09,0.035,medium
175,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,12.475,8,4096,35,64,64,8,10368,fp8,16,7.42,2.0757,23026,5.57,16.44,1.01,0.068,medium
176,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.5,False,precision,12.488,8,4096,34,64,64,8,12672,fp8,8,8.22,2.0759,21732,5.47,17.33,1.07,0.033,medium
177,False,False,n_layers: 36 -> 37; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,12.526,8,4096,37,64,64,8,11520,fp8,8,8.27,2.0766,20867,5.91,18.12,1.08,0.036,medium
178,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.539,8,4096,35,64,64,8,12096,fp8,8,8.16,2.0769,21569,5.61,17.49,1.06,0.034,medium
179,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,4.5,False,architecture,12.546,8,4096,38,64,64,1,12672,bf16,16,8.85,2.077,10625,6.8,37.42,2.23,0.009,medium
180,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,high,3.0,False,precision,12.567,8,4096,34,64,64,8,10368,fp8,16,7.25,2.0774,23688,5.41,15.97,0.99,0.066,medium
181,False,False,ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,low,1.0,False,precision,12.605,8,4096,36,64,64,8,11520,fp8,8,8.09,2.0781,21435,5.75,17.63,1.06,0.035,medium
182,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,3.75,False,architecture,12.619,8,4096,37,64,64,1,12672,bf16,16,8.66,2.0784,10909,6.62,36.44,2.18,0.009,medium
183,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.63,8,4096,34,64,64,8,12096,fp8,8,7.98,2.0786,22190,5.45,16.99,1.04,0.033,medium
184,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.686,8,4096,37,64,64,8,10944,fp8,8,8.01,2.0796,21327,5.88,17.75,1.05,0.036,medium
185,False,False,n_layers: 36 -> 35; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,12.69,8,4096,35,64,64,8,11520,fp8,8,7.91,2.0797,22034,5.59,17.14,1.03,0.034,medium
186,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,4.0,False,architecture,12.691,8,4096,38,64,64,1,12096,bf16,16,8.58,2.0797,10883,6.75,36.55,2.16,0.009,medium
187,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,3.0,False,architecture,12.698,8,4096,36,64,64,1,12672,bf16,16,8.47,2.0798,11209,6.44,35.45,2.14,0.009,medium
188,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,3.25,False,architecture,12.765,8,4096,37,64,64,1,12096,bf16,16,8.4,2.0811,11174,6.57,35.58,2.12,0.009,medium
189,False,False,ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.5,False,precision,12.766,8,4096,36,64,64,8,10944,fp8,8,7.84,2.0811,21907,5.72,17.27,1.03,0.035,medium
190,False,False,n_layers: 36 -> 34; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,12.782,8,4096,34,64,64,8,11520,fp8,8,7.74,2.0814,22668,5.43,16.65,1.01,0.033,medium
191,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,3.75,False,architecture,12.783,8,4096,35,64,64,1,12672,bf16,16,8.28,2.0814,11525,6.26,34.47,2.09,0.009,medium
192,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,medium,2.5,False,architecture,12.844,8,4096,36,64,64,1,12096,bf16,16,8.22,2.0825,11481,6.4,34.62,2.08,0.009,medium
193,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.852,8,4096,35,64,64,8,10944,fp8,8,7.67,2.0827,22519,5.57,16.79,1.0,0.034,medium
194,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,4.5,False,architecture,12.874,8,4096,34,64,64,1,12672,bf16,16,8.09,2.0831,11860,6.08,33.48,2.05,0.008,medium
195,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1,high,2.75,False,architecture,12.921,8,4096,37,64,64,1,11520,bf16,16,8.14,2.0839,11453,6.53,34.73,2.06,0.009,medium
196,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,3.25,False,architecture,12.929,8,4096,35,64,64,1,12096,bf16,16,8.03,2.0841,11806,6.22,33.66,2.04,0.009,medium
197,False,False,ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.0,False,precision,12.939,8,4096,36,64,64,8,10368,fp8,8,7.58,2.0843,22401,5.7,16.91,1.0,0.035,medium
198,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.944,8,4096,34,64,64,8,10944,fp8,8,7.49,2.0844,23167,5.41,16.31,0.98,0.033,medium
199,False,False,n_kv_heads: 8 -> 1,medium,2.0,False,architecture,13.001,8,4096,36,64,64,1,11520,bf16,16,7.96,2.0854,11768,6.35,33.79,2.02,0.009,medium
200,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,4.0,False,architecture,13.021,8,4096,34,64,64,1,12096,bf16,16,7.85,2.0858,12149,6.04,32.7,1.99,0.008,medium
201,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,2.75,False,precision,13.025,8,4096,35,64,64,8,10368,fp8,8,7.42,2.0859,23026,5.54,16.44,0.98,0.034,medium
202,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1,high,2.75,False,architecture,13.086,8,4096,35,64,64,1,11520,bf16,16,7.79,2.087,12100,6.18,32.86,1.98,0.009,medium
203,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; kv_cache_bits: 16 -> 8,high,5.0,False,precision,13.092,8,4096,38,64,64,1,12672,bf16,8,8.85,2.0871,10625,6.77,37.42,2.22,0.005,medium
204,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.5,False,precision,13.118,8,4096,34,64,64,8,10368,fp8,8,7.25,2.0876,23688,5.39,15.97,0.96,0.033,medium
205,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; kv_cache_bits: 16 -> 8,high,4.25,False,precision,13.166,8,4096,37,64,64,1,12672,bf16,8,8.66,2.0885,10909,6.59,36.44,2.18,0.005,medium
206,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944,medium,2.5,False,architecture,13.168,8,4096,36,64,64,1,10944,bf16,16,7.71,2.0885,12069,6.31,32.97,1.96,0.009,medium
207,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1,high,3.5,False,architecture,13.179,8,4096,34,64,64,1,11520,bf16,16,7.61,2.0887,12451,6.0,31.92,1.94,0.008,medium
208,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,high,4.5,False,precision,13.238,8,4096,38,64,64,1,12096,bf16,8,8.58,2.0898,10883,6.72,36.55,2.16,0.005,medium
209,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; kv_cache_bits: 16 -> 8,high,3.5,False,precision,13.245,8,4096,36,64,64,1,12672,bf16,8,8.47,2.0899,11209,6.42,35.45,2.13,0.004,medium
210,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944,high,3.25,False,architecture,13.254,8,4096,35,64,64,1,10944,bf16,16,7.54,2.0901,12409,6.13,32.05,1.92,0.009,medium
211,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,high,3.75,False,precision,13.313,8,4096,37,64,64,1,12096,bf16,8,8.4,2.0912,11174,6.55,35.58,2.12,0.005,medium
212,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; kv_cache_bits: 16 -> 8,high,4.25,False,precision,13.331,8,4096,35,64,64,1,12672,bf16,8,8.28,2.0915,11525,6.24,34.47,2.09,0.004,medium
213,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944,high,4.0,False,architecture,13.347,8,4096,34,64,64,1,10944,bf16,16,7.37,2.0918,12770,5.96,31.13,1.88,0.008,medium
214,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10368,high,3.0,False,architecture,13.348,8,4096,36,64,64,1,10368,bf16,16,7.45,2.0918,12385,6.26,32.14,1.9,0.009,medium
215,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,high,3.0,False,precision,13.393,8,4096,36,64,64,1,12096,bf16,8,8.22,2.0926,11481,6.37,34.62,2.07,0.004,medium
216,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; kv_cache_bits: 16 -> 8,high,5.0,False,precision,13.423,8,4096,34,64,64,1,12672,bf16,8,8.09,2.0932,11860,6.06,33.48,2.04,0.004,medium
217,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10368,high,3.75,False,architecture,13.435,8,4096,35,64,64,1,10368,bf16,16,7.29,2.0934,12735,6.09,31.24,1.86,0.009,medium
218,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,3.25,False,precision,13.469,8,4096,37,64,64,1,11520,bf16,8,8.14,2.0941,11453,6.5,34.73,2.06,0.005,medium
219,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,high,3.75,False,precision,13.478,8,4096,35,64,64,1,12096,bf16,8,8.03,2.0942,11806,6.19,33.66,2.03,0.004,medium
220,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10368,high,4.5,False,architecture,13.528,8,4096,34,64,64,1,10368,bf16,16,7.13,2.0951,13105,5.91,30.35,1.82,0.008,medium
221,False,False,n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,13.55,8,4096,36,64,64,1,11520,bf16,8,7.96,2.0955,11768,6.32,33.79,2.01,0.004,medium
222,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; kv_cache_bits: 16 -> 8,high,4.5,False,precision,13.571,8,4096,34,64,64,1,12096,bf16,8,7.85,2.0959,12149,6.02,32.7,1.99,0.004,medium
223,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,3.25,False,precision,13.636,8,4096,35,64,64,1,11520,bf16,8,7.79,2.0971,12100,6.15,32.86,1.97,0.004,medium
224,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,5.0,False,precision,13.639,8,4096,38,64,64,1,12672,fp8,16,8.85,2.0972,19519,6.14,19.37,1.12,0.009,medium
225,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,4.25,False,precision,13.713,8,4096,37,64,64,1,12672,fp8,16,8.66,2.0986,20036,5.98,18.86,1.1,0.009,medium
226,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,high,3.0,False,precision,13.718,8,4096,36,64,64,1,10944,bf16,8,7.71,2.0986,12069,6.28,32.97,1.96,0.004,medium
227,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,4.0,False,precision,13.729,8,4096,34,64,64,1,11520,bf16,8,7.61,2.0988,12451,5.97,31.92,1.93,0.004,medium
228,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,4.5,False,precision,13.786,8,4096,38,64,64,1,12096,fp8,16,8.58,2.0999,19932,6.12,18.99,1.09,0.009,medium
229,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,3.5,False,precision,13.793,8,4096,36,64,64,1,12672,fp8,16,8.47,2.1,20582,5.82,18.35,1.07,0.009,medium
230,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,high,3.75,False,precision,13.805,8,4096,35,64,64,1,10944,bf16,8,7.54,2.1002,12409,6.1,32.05,1.92,0.004,medium
231,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,3.75,False,precision,13.861,8,4096,37,64,64,1,12096,fp8,16,8.4,2.1013,20460,5.96,18.49,1.06,0.009,medium
232,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,4.25,False,precision,13.879,8,4096,35,64,64,1,12672,fp8,16,8.28,2.1016,21158,5.66,17.84,1.05,0.009,medium
233,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10368; kv_cache_bits: 16 -> 8,high,3.5,False,precision,13.898,8,4096,36,64,64,1,10368,bf16,8,7.45,2.102,12385,6.23,32.14,1.9,0.004,medium
234,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944; kv_cache_bits: 16 -> 8,high,4.5,False,precision,13.898,8,4096,34,64,64,1,10944,bf16,8,7.37,2.102,12770,5.93,31.13,1.88,0.004,medium
235,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,3.0,False,precision,13.941,8,4096,36,64,64,1,12096,fp8,16,8.22,2.1028,21017,5.8,17.99,1.04,0.009,medium
236,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8,high,5.0,False,precision,13.971,8,4096,34,64,64,1,12672,fp8,16,8.09,2.1033,21767,5.5,17.33,1.03,0.008,medium
237,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10368; kv_cache_bits: 16 -> 8,high,4.25,False,precision,13.986,8,4096,35,64,64,1,10368,bf16,8,7.29,2.1036,12735,6.06,31.24,1.86,0.004,medium
238,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,3.25,False,precision,14.018,8,4096,37,64,64,1,11520,fp8,16,8.14,2.1042,20902,5.93,18.12,1.03,0.009,medium
239,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,3.75,False,precision,14.027,8,4096,35,64,64,1,12096,fp8,16,8.03,2.1044,21605,5.64,17.49,1.02,0.009,medium
240,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10368; kv_cache_bits: 16 -> 8,high,5.0,False,precision,14.08,8,4096,34,64,64,1,10368,bf16,8,7.13,2.1053,13105,5.89,30.35,1.82,0.004,medium
241,False,False,n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,14.099,8,4096,36,64,64,1,11520,fp8,16,7.96,2.1057,21471,5.77,17.63,1.01,0.009,medium
242,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8,high,4.5,False,precision,14.12,8,4096,34,64,64,1,12096,fp8,16,7.85,2.1061,22226,5.47,16.99,1.0,0.008,medium
243,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,3.25,False,precision,14.186,8,4096,35,64,64,1,11520,fp8,16,7.79,2.1073,22071,5.61,17.14,0.99,0.009,medium
244,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,5.5,False,precision,14.186,8,4096,38,64,64,1,12672,fp8,8,8.85,2.1073,19519,6.11,19.37,1.11,0.005,medium
245,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.75,False,precision,14.261,8,4096,37,64,64,1,12672,fp8,8,8.66,2.1087,20036,5.95,18.86,1.09,0.005,medium
246,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,high,3.0,False,precision,14.268,8,4096,36,64,64,1,10944,fp8,16,7.71,2.1088,21944,5.75,17.27,0.98,0.009,medium
247,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,4.0,False,precision,14.279,8,4096,34,64,64,1,11520,fp8,16,7.61,2.109,22706,5.45,16.65,0.97,0.008,medium
248,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,5.0,False,precision,14.333,8,4096,38,64,64,1,12096,fp8,8,8.58,2.11,19932,6.09,18.99,1.08,0.005,medium
249,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.0,False,precision,14.341,8,4096,36,64,64,1,12672,fp8,8,8.47,2.1101,20582,5.79,18.35,1.07,0.004,medium
250,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,high,3.75,False,precision,14.355,8,4096,35,64,64,1,10944,fp8,16,7.54,2.1104,22558,5.59,16.79,0.96,0.009,medium
251,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.25,False,precision,14.409,8,4096,37,64,64,1,12096,fp8,8,8.4,2.1114,20460,5.93,18.49,1.06,0.005,medium
252,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.75,False,precision,14.427,8,4096,35,64,64,1,12672,fp8,8,8.28,2.1117,21158,5.63,17.84,1.05,0.004,medium
